transaction_id,country,payment_method,amount_eur,hour,previous_failures,is_cross_border,is_returning_user,fraud_score,risk_band,selected_provider,expected_success_rate,decision,fallback_used,fallback_provider,final_status,simulated_latency_ms,gross_margin_eur
tx_0001,ES,contactless_card,74.03,2,2,False,False,49.3,medium,acquirer_b,0.83,accept,False,,approved,430,0.89
tx_0002,US,mobile_wallet,20.09,19,0,False,True,7.5,low,acquirer_b,0.94,accept,False,,approved,430,0.24
tx_0003,IT,contactless_card,34.14,21,0,False,True,6.3,low,acquirer_b,0.94,accept,False,,approved,430,0.41
tx_0004,FR,contactless_card,17.97,22,0,True,False,24.2,low,acquirer_b,0.92,accept,False,,approved,430,0.22
tx_0005,BE,contactless_card,17.94,17,1,False,True,14.2,low,acquirer_b,0.91,accept,False,,approved,430,0.22
tx_0006,US,contactless_card,11.34,3,0,False,True,13.4,low,acquirer_c,0.91,retry_fallback,True,acquirer_a,approved,980,0.0
tx_0007,FR,contactless_card,107.34,22,0,False,True,15.4,low,acquirer_b,0.94,accept,False,,approved,430,1.29
tx_0008,UK,mobile_wallet,32.88,0,1,False,True,29.1,low,acquirer_b,0.91,accept,False,,approved,430,0.39
tx_0009,UK,mobile_wallet,6.97,6,0,False,True,5.9,low,acquirer_c,0.91,accept,False,,approved,320,0.1
tx_0010,NL,contactless_card,43.79,6,0,False,True,7.5,low,acquirer_b,0.94,accept,False,,approved,430,0.53
tx_0011,BE,contactless_card,41.79,17,0,False,True,7.2,low,acquirer_b,0.94,accept,False,,approved,430,0.5
tx_0012,LU,wearable,42.66,3,0,True,True,31.3,low,acquirer_b,0.92,accept,False,,approved,430,0.51
tx_0013,LU,contactless_card,101.84,23,1,False,True,24.7,low,acquirer_b,0.91,accept,False,,approved,430,1.22
tx_0014,NL,contactless_card,40.46,4,0,False,True,17.1,low,acquirer_b,0.94,accept,False,,approved,430,0.49
tx_0015,DE,contactless_card,42.7,20,0,True,True,19.3,low,acquirer_b,0.92,accept,False,,approved,430,0.51
tx_0016,DE,contactless_card,24.6,13,0,True,True,17.1,low,acquirer_b,0.92,accept,False,,approved,430,0.3
tx_0017,AU,card_not_present,18.56,6,0,False,False,19.3,low,acquirer_b,0.91,accept,False,,approved,430,0.22
tx_0018,UK,contactless_card,41.48,10,0,False,False,15.2,low,acquirer_b,0.94,accept,False,,approved,430,0.5
tx_0019,ES,contactless_card,39.07,2,0,False,True,16.9,low,acquirer_b,0.94,accept,False,,approved,430,0.47
tx_0020,AU,wearable,20.35,10,2,False,False,34.5,low,acquirer_b,0.88,accept,False,,approved,430,0.24
tx_0021,FR,mobile_wallet,29.11,16,0,False,True,8.6,low,acquirer_b,0.94,accept,False,,approved,430,0.35
tx_0022,FR,contactless_card,44.65,4,0,False,True,17.6,low,acquirer_b,0.94,retry_fallback,True,acquirer_a,approved,1090,-0.13
tx_0023,DE,contactless_card,47.04,23,0,False,True,7.9,low,acquirer_b,0.94,accept,False,,approved,430,0.56
tx_0024,FR,card_not_present,27.47,15,1,True,True,34.4,low,acquirer_b,0.86,accept,False,,approved,430,0.33
tx_0025,FR,contactless_card,5.39,8,0,False,True,2.7,low,acquirer_c,0.91,accept,False,,approved,320,0.08
tx_0026,DE,mobile_wallet,49.94,6,0,False,True,11.2,low,acquirer_b,0.94,accept,False,,approved,430,0.6
tx_0027,NL,contactless_card,32.28,18,1,False,True,16.0,low,acquirer_b,0.91,accept,False,,approved,430,0.39
tx_0028,US,mobile_wallet,19.8,9,0,False,True,7.5,low,acquirer_b,0.94,accept,False,,approved,430,0.24
tx_0029,ES,wearable,29.01,22,2,False,False,35.6,low,acquirer_b,0.88,accept,False,,approved,430,0.35
tx_0030,DE,wearable,15.78,11,0,False,True,6.0,low,acquirer_b,0.94,retry_fallback,True,acquirer_a,approved,1090,-0.05
tx_0031,DE,mobile_wallet,49.66,16,0,False,True,11.2,low,acquirer_b,0.94,accept,False,,approved,430,0.6
tx_0032,LU,contactless_card,31.89,21,1,False,True,16.0,low,acquirer_b,0.91,accept,False,,approved,430,0.38
tx_0033,FR,contactless_card,9.38,22,0,False,True,3.2,low,acquirer_c,0.91,accept,False,,approved,320,0.14
tx_0034,FR,contactless_card,53.25,5,1,False,True,28.7,low,acquirer_b,0.91,accept,False,,approved,430,0.64
tx_0035,ES,mobile_wallet,58.58,10,0,True,False,32.3,low,acquirer_b,0.92,accept,False,,approved,430,0.7
tx_0036,FR,contactless_card,36.82,17,0,False,True,6.6,low,acquirer_b,0.94,accept,False,,approved,430,0.44
tx_0037,BE,contactless_card,60.46,9,0,False,True,9.6,low,acquirer_b,0.94,accept,False,,approved,430,0.73
tx_0038,FR,mobile_wallet,11.23,7,1,False,True,16.4,low,acquirer_c,0.88,accept,False,,approved,320,0.17
tx_0039,UK,mobile_wallet,95.13,14,0,False,True,16.9,low,acquirer_b,0.94,accept,False,,approved,430,1.14
tx_0040,FR,card_not_present,52.91,21,2,False,False,43.6,medium,acquirer_b,0.8,accept,False,,approved,430,0.63
tx_0041,LU,contactless_card,83.36,11,1,False,False,30.4,low,acquirer_b,0.91,accept,False,,approved,430,1.0
tx_0042,US,contactless_card,11.52,9,0,False,True,3.4,low,acquirer_c,0.91,accept,False,,approved,320,0.17
tx_0043,DE,wearable,27.04,18,0,True,True,19.4,low,acquirer_b,0.92,accept,False,,approved,430,0.32
tx_0044,UK,mobile_wallet,33.71,12,1,False,True,19.2,low,acquirer_b,0.91,accept,False,,approved,430,0.4
tx_0045,ES,mobile_wallet,130.03,7,0,True,True,33.3,low,acquirer_a,0.94,accept,False,,approved,540,1.3
tx_0046,IT,card_not_present,41.5,21,0,False,True,14.2,low,acquirer_b,0.91,accept,False,,approved,430,0.5
tx_0047,FR,card_not_present,14.87,14,0,False,False,18.9,low,acquirer_b,0.91,accept,False,,approved,430,0.18
tx_0048,DE,card_not_present,60.25,16,0,True,False,36.5,low,acquirer_b,0.89,accept,False,,approved,430,0.72
tx_0049,DE,wearable,48.51,19,0,False,True,10.1,low,acquirer_b,0.94,accept,False,,approved,430,0.58
