transaction_id,country,payment_method,amount_eur,hour,previous_failures,is_cross_border,is_returning_user
tx_0001,ES,contactless_card,74.03,2,2,False,False
tx_0002,US,mobile_wallet,20.09,19,0,False,True
tx_0003,IT,contactless_card,34.14,21,0,False,True
tx_0004,FR,contactless_card,17.97,22,0,True,False
tx_0005,BE,contactless_card,17.94,17,1,False,True
tx_0006,US,contactless_card,11.34,3,0,False,True
tx_0007,FR,contactless_card,107.34,22,0,False,True
tx_0008,UK,mobile_wallet,32.88,0,1,False,True
tx_0009,UK,mobile_wallet,6.97,6,0,False,True
tx_0010,NL,contactless_card,43.79,6,0,False,True
tx_0011,BE,contactless_card,41.79,17,0,False,True
tx_0012,LU,wearable,42.66,3,0,True,True
tx_0013,LU,contactless_card,101.84,23,1,False,True
tx_0014,NL,contactless_card,40.46,4,0,False,True
tx_0015,DE,contactless_card,42.7,20,0,True,True
tx_0016,DE,contactless_card,24.6,13,0,True,True
tx_0017,AU,card_not_present,18.56,6,0,False,False
tx_0018,UK,contactless_card,41.48,10,0,False,False
tx_0019,ES,contactless_card,39.07,2,0,False,True
tx_0020,AU,wearable,20.35,10,2,False,False
tx_0021,FR,mobile_wallet,29.11,16,0,False,True
tx_0022,FR,contactless_card,44.65,4,0,False,True
tx_0023,DE,contactless_card,47.04,23,0,False,True
tx_0024,FR,card_not_present,27.47,15,1,True,True
tx_0025,FR,contactless_card,5.39,8,0,False,True
tx_0026,DE,mobile_wallet,49.94,6,0,False,True
tx_0027,NL,contactless_card,32.28,18,1,False,True
tx_0028,US,mobile_wallet,19.8,9,0,False,True
tx_0029,ES,wearable,29.01,22,2,False,False
tx_0030,DE,wearable,15.78,11,0,False,True
tx_0031,DE,mobile_wallet,49.66,16,0,False,True
tx_0032,LU,contactless_card,31.89,21,1,False,True
tx_0033,FR,contactless_card,9.38,22,0,False,True
tx_0034,FR,contactless_card,53.25,5,1,False,True
tx_0035,ES,mobile_wallet,58.58,10,0,True,False
tx_0036,FR,contactless_card,36.82,17,0,False,True
tx_0037,BE,contactless_card,60.46,9,0,False,True
tx_0038,FR,mobile_wallet,11.23,7,1,False,True
tx_0039,UK,mobile_wallet,95.13,14,0,False,True
tx_0040,FR,card_not_present,52.91,21,2,False,False
tx_0041,LU,contactless_card,83.36,11,1,False,False
tx_0042,US,contactless_card,11.52,9,0,False,True
tx_0043,DE,wearable,27.04,18,0,True,True
tx_0044,UK,mobile_wallet,33.71,12,1,False,True
tx_0045,ES,mobile_wallet,130.03,7,0,True,True
tx_0046,IT,card_not_present,41.5,21,0,False,True
tx_0047,FR,card_not_present,14.87,14,0,False,False
tx_0048,DE,card_not_present,60.25,16,0,True,False
tx_0049,DE,wearable,48.51,19,0,False,True
tx_0050,US,contactless_card,23.95,2,0,False,True
tx_0051,BE,mobile_wallet,73.31,20,1,False,True
tx_0052,DE,contactless_card,89.89,3,1,False,True
tx_0053,FR,mobile_wallet,35.4,0,0,False,True
tx_0054,BE,mobile_wallet,19.31,23,0,False,True
tx_0055,BE,mobile_wallet,66.67,6,0,False,True
tx_0056,FR,contactless_card,55.69,0,3,True,False
tx_0057,UK,contactless_card,33.86,16,0,False,True
tx_0058,BE,contactless_card,22.02,7,0,False,True
tx_0059,AU,contactless_card,34.69,10,1,False,True
tx_0060,DE,card_not_present,58.49,23,0,False,False
tx_0061,DE,mobile_wallet,44.31,13,0,False,True
tx_0062,ES,contactless_card,1.56,0,0,False,True
